,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
543,3BM-40001,TG120255002P83,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,49:15.7,1091594-01-H,33:54.0
544,3BM-40001,TG120255002S4C,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,50:05.6,1093905-01-H,53:44.0
545,3BM-40001,TG120255002STF,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,50:19.3,1093905-01-H,04:07.0
546,3BM-40001,TG120253001ZG8,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,51:23.8,1093906-01-H,49:07.0
547,3BM-40001,TG120255002P8K,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,51:29.1,1091594-01-H,33:59.0
548,3BM-40001,TG120255002STM,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,51:36.7,1093905-01-H,04:13.0
549,3BM-40001,TG120255002PAF,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,52:37.5,1091594-01-H,34:48.0
550,3BM-40001,TG120255002S20,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,52:48.9,1093905-01-H,52:49.0
551,3BM-40001,TG120255002FTJ,jenyoung,,jenyoung,,,jenyoung,53:12.5,1091594-01-H,47:00.0
552,3BM-40001,TG120255002TDN,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,53:37.4,1093905-01-H,14:31.0
553,3BM-40001,TG120255002PAG,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,53:45.3,1091594-01-H,34:48.0
554,3BM-40001,TG120255002S4F,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,53:58.5,1093905-01-H,53:49.0
